time,ticker,close,high,low,open,volume,currency,data_provider
2024-01-22 14:30:00,AAPL,192.42999267578125,192.42999267578125,192.42999267578125,192.42999267578125,1924323.0,USD,yfinance
2024-01-22 14:30:00,AMZN,155.9499969482422,156.08999633789062,155.89999389648438,156.08999633789062,2418197.0,USD,yfinance
2024-01-22 14:30:00,GOOG,149.58999633789062,149.6300048828125,149.5,149.5,1128316.0,USD,yfinance
2024-01-22 14:30:00,META,388.510009765625,388.6099853515625,388.4700012207031,388.510009765625,765788.0,USD,yfinance
2024-01-22 14:30:00,MSFT,399.80999755859375,399.8699951171875,399.7601013183594,399.8599853515625,1678874.0,USD,yfinance
2024-01-22 14:30:00,NVDA,597.5,597.6998901367188,597.5,597.5,2890137.0,USD,yfinance
2024-01-22 14:30:00,TSLA,212.3800048828125,212.44000244140625,212.16009521484375,212.25,3229565.0,USD,yfinance
2024-01-22 14:31:00,AAPL,192.80999755859375,192.85000610351562,192.4593048095703,192.4593048095703,309302.0,USD,yfinance
2024-01-22 14:31:00,AMZN,155.8300018310547,156.1199951171875,155.72439575195312,155.82000732421875,450448.0,USD,yfinance
2024-01-22 14:31:00,GOOG,149.63999938964844,149.77999877929688,149.17999267578125,149.24000549316406,345978.0,USD,yfinance
2024-01-22 14:31:00,META,389.0199890136719,389.2699890136719,387.7701110839844,387.9800109863281,151620.0,USD,yfinance
2024-01-22 14:31:00,MSFT,399.9100036621094,400.0400085449219,399.197998046875,399.54998779296875,166458.0,USD,yfinance
2024-01-22 14:31:00,NVDA,599.6599731445312,599.9000244140625,597.0700073242188,597.4199829101562,504353.0,USD,yfinance
2024-01-22 14:31:00,TSLA,210.38499450683594,212.02999877929688,210.1199951171875,211.77999877929688,849550.0,USD,yfinance
2024-01-22 14:32:00,AAPL,193.25,193.36000061035156,192.7899932861328,192.8000946044922,451415.0,USD,yfinance
2024-01-22 14:32:00,AMZN,155.6699981689453,156.18670654296875,155.61000061035156,155.83999633789062,341741.0,USD,yfinance
2024-01-22 14:32:00,GOOG,149.58999633789062,149.86000061035156,149.44000244140625,149.6199951171875,179892.0,USD,yfinance
2024-01-22 14:32:00,META,389.3999938964844,389.8800048828125,388.90179443359375,389.0498962402344,117287.0,USD,yfinance
2024-01-22 14:32:00,MSFT,399.5299987792969,400.6199951171875,399.4849853515625,399.8800048828125,173348.0,USD,yfinance
2024-01-22 14:32:00,NVDA,600.3499755859375,602.2999877929688,599.3994140625,599.3994140625,629188.0,USD,yfinance
2024-01-22 14:32:00,TSLA,210.82960510253906,211.0699005126953,210.11000061035156,210.3061981201172,575670.0,USD,yfinance
2024-01-22 14:33:00,AAPL,193.4600067138672,193.47000122070312,193.22999572753906,193.25,317823.0,USD,yfinance
2024-01-22 14:33:00,AMZN,155.625,155.6999969482422,155.44000244140625,155.6300048828125,356410.0,USD,yfinance
2024-01-22 14:33:00,GOOG,149.74000549316406,149.8000030517578,149.41000366210938,149.58999633789062,156667.0,USD,yfinance
2024-01-22 14:33:00,META,389.5,389.75,388.8399963378906,389.3840026855469,93236.0,USD,yfinance
2024-01-22 14:33:00,MSFT,398.54998779296875,399.6499938964844,398.18499755859375,399.5150146484375,308448.0,USD,yfinance
2024-01-22 14:33:00,NVDA,599.125,600.7000122070312,598.2000122070312,600.25,348081.0,USD,yfinance
2024-01-22 14:33:00,TSLA,212.23399353027344,212.48890686035156,210.5,210.71009826660156,742043.0,USD,yfinance
2024-01-22 14:34:00,AAPL,193.80999755859375,193.80999755859375,193.36000061035156,193.4600067138672,340548.0,USD,yfinance
2024-01-22 14:34:00,AMZN,155.5,155.77890014648438,155.3800048828125,155.63999938964844,301078.0,USD,yfinance
2024-01-22 14:34:00,GOOG,149.77000427246094,150.01499938964844,149.64999389648438,149.77999877929688,420671.0,USD,yfinance
2024-01-22 14:34:00,META,390.1798095703125,390.239990234375,389.29638671875,389.5,141898.0,USD,yfinance
2024-01-22 14:34:00,MSFT,397.8450012207031,399.1099853515625,397.7200012207031,398.6199951171875,214772.0,USD,yfinance
2024-01-22 14:34:00,NVDA,602.7550048828125,602.9000244140625,598.8701171875,598.8701171875,434636.0,USD,yfinance
2024-01-22 14:34:00,TSLA,214.093994140625,214.75,212.19009399414062,212.19009399414062,1265066.0,USD,yfinance
2024-01-22 14:35:00,AAPL,193.74000549316406,193.93499755859375,193.71080017089844,193.80999755859375,275575.0,USD,yfinance
2024-01-22 14:35:00,AMZN,155.5164031982422,155.64999389648438,155.3699951171875,155.5050048828125,265511.0,USD,yfinance
2024-01-22 14:35:00,GOOG,149.85000610351562,149.947998046875,149.7100067138672,149.77000427246094,116300.0,USD,yfinance
2024-01-22 14:35:00,META,389.8999938964844,390.3525085449219,389.75,390.18499755859375,125163.0,USD,yfinance
2024-01-22 14:35:00,MSFT,398.75,398.9800109863281,397.8399963378906,397.8399963378906,139552.0,USD,yfinance
2024-01-22 14:35:00,NVDA,602.8099975585938,603.3099975585938,601.6099853515625,602.7501220703125,374477.0,USD,yfinance
2024-01-22 14:35:00,TSLA,213.27499389648438,214.19000244140625,213.0500030517578,214.1300048828125,655690.0,USD,yfinance
2024-01-22 14:36:00,AAPL,193.6999969482422,193.80999755859375,193.63999938964844,193.75999450683594,219737.0,USD,yfinance
2024-01-22 14:36:00,AMZN,155.0800018310547,155.52999877929688,155.07000732421875,155.50999450683594,344692.0,USD,yfinance
2024-01-22 14:36:00,GOOG,149.47000122070312,149.8800048828125,149.4062042236328,149.8699951171875,105008.0,USD,yfinance
2024-01-22 14:36:00,META,388.8999938964844,390.0299987792969,388.8999938964844,389.8900146484375,118422.0,USD,yfinance
2024-01-22 14:36:00,MSFT,398.0350036621094,398.7666931152344,397.95001220703125,398.739990234375,178777.0,USD,yfinance
